target	aerobic	substrate	num swaps	thko	f_k	max yield	swaps	time (s)	sur	biomass
CMHO	aerobic	EX_glc(e)	0	nothko		17.5818		0.1	2.0	0.000	
CMHO	aerobic	EX_glc(e)	1	nothko	17.9455	17.9455	'GAPD';	16.3	2.0	0.000	
CMHO	aerobic	EX_glc(e)	2	nothko	18.3091	18.3091	'GAPD';'PDH';	17.2	2.0	0.000	
CMHO	aerobic	EX_glc(e)	0	nothko		36.3091		0.1	4.0	0.000	
CMHO	aerobic	EX_glc(e)	1	nothko	37.0364	37.0364	'MDH';	16.8	4.0	0.000	
CMHO	aerobic	EX_glc(e)	2	nothko	37.7636	37.7636	'GAPD';'PDH';	17.0	4.0	0.000	
CMHO	aerobic	EX_glc(e)	0	nothko		55.0364		0.1	6.0	0.000	
CMHO	aerobic	EX_glc(e)	1	nothko	56.1273	56.1273	'MDH';	16.4	6.0	0.000	
CMHO	aerobic	EX_glc(e)	2	nothko	57.2182	57.2182	'MDH';'PDH';	16.9	6.0	0.000	
CMHO	aerobic	EX_glc(e)	0	nothko		70.2118		0.1	8.0	0.000	
CMHO	aerobic	EX_glc(e)	1	nothko	73.9765	73.9765	'GAPD';	16.3	8.0	0.000	
CMHO	aerobic	EX_glc(e)	2	nothko	76.6727	76.6727	'GAPD';'PDH';	16.9	8.0	0.000	
CMHO	aerobic	EX_glc(e)	0	nothko		80.5647		0.1	10.0	0.000	
CMHO	aerobic	EX_glc(e)	1	nothko	85.2706	85.2706	'GAPD';	16.5	10.0	0.000	
CMHO	aerobic	EX_glc(e)	2	nothko	89.9765	89.9765	'GAPD';'PDH';	17.2	10.0	0.000	
CMHO	aerobic	EX_glc(e)	0	nothko		90.9176		0.1	12.0	0.000	
CMHO	aerobic	EX_glc(e)	1	nothko	96.5647	96.5647	'GAPD';	16.4	12.0	0.000	
CMHO	aerobic	EX_glc(e)	2	nothko	102.1833	102.1833	'GAPD';'PDH';	16.9	12.0	0.000	
CMHO	aerobic	EX_glc(e)	0	nothko		101.2706		0.1	14.0	0.000	
CMHO	aerobic	EX_glc(e)	1	nothko	107.8588	107.8588	'PDH';	16.0	14.0	0.000	
CMHO	aerobic	EX_glc(e)	2	nothko	114.1833	114.1833	'GAPD';'PDH';	16.6	14.0	0.000	
CMHO	aerobic	EX_glc(e)	0	nothko		111.6235		0.1	16.0	0.000	
CMHO	aerobic	EX_glc(e)	1	nothko	119.1529	119.1529	'PDH';	16.2	16.0	0.000	
CMHO	aerobic	EX_glc(e)	2	nothko	126.1833	126.1833	'GAPD';'PDH';	16.6	16.0	0.000	
CMHO	aerobic	EX_glc(e)	0	nothko		121.1333		0.1	18.0	0.000	
CMHO	aerobic	EX_glc(e)	1	nothko	130.4471	130.4471	'PDH';	16.0	18.0	0.000	
CMHO	aerobic	EX_glc(e)	2	nothko	138.1833	138.1833	'GAPD';'PDH';	16.5	18.0	0.000	
CMHO	aerobic	EX_glc(e)	0	nothko		129.1333		0.1	20.0	0.000	
CMHO	aerobic	EX_glc(e)	1	nothko	141.7412	141.7412	'PDH';	16.0	20.0	0.000	
CMHO	aerobic	EX_glc(e)	2	nothko	150.1833	150.1833	'GAPD';'PDH';	16.4	20.0	0.000	
CMHO	aerobic	EX_glc(e)	0	nothko		7.0199		0.1	2.0	0.113	
CMHO	aerobic	EX_glc(e)	1	nothko	7.3581	7.3369	'GAPD';	15.9	2.0	0.113	
CMHO	aerobic	EX_glc(e)	2	nothko	7.6860	7.6647	'GAPD';'PDH';	16.5	2.0	0.113	
CMHO	aerobic	EX_glc(e)	0	nothko		25.9946		0.1	4.0	0.113	
CMHO	aerobic	EX_glc(e)	1	nothko	26.6373	26.6161	'GAPD';	16.0	4.0	0.113	
CMHO	aerobic	EX_glc(e)	2	nothko	27.1860	27.1647	'GAPD';'PDH';	16.4	4.0	0.113	
CMHO	aerobic	EX_glc(e)	0	nothko		44.7218		0.1	6.0	0.113	
CMHO	aerobic	EX_glc(e)	1	nothko	45.8019	45.7811	'GAPD';	15.8	6.0	0.113	
CMHO	aerobic	EX_glc(e)	2	nothko	46.6860	46.6647	'GAPD';'PDH';	16.7	6.0	0.113	
CMHO	aerobic	EX_glc(e)	0	nothko		59.0309		0.1	8.0	0.113	
CMHO	aerobic	EX_glc(e)	1	nothko	62.7326	62.7138	'GAPD';	16.0	8.0	0.113	
CMHO	aerobic	EX_glc(e)	2	nothko	66.0456	66.0255	'GAPD';'PDH';	16.4	8.0	0.113	
CMHO	aerobic	EX_glc(e)	0	nothko		69.3838		0.1	10.0	0.113	
CMHO	aerobic	EX_glc(e)	1	nothko	74.0268	74.0079	'GAPD';	15.8	10.0	0.113	
CMHO	aerobic	EX_glc(e)	2	nothko	78.0744	78.0542	'GAPD';'PDH';	16.4	10.0	0.113	
CMHO	aerobic	EX_glc(e)	0	nothko		79.7368		0.1	12.0	0.113	
CMHO	aerobic	EX_glc(e)	1	nothko	85.3209	85.3021	'GAPD';	15.7	12.0	0.113	
CMHO	aerobic	EX_glc(e)	2	nothko	90.0744	90.0542	'GAPD';'PDH';	16.1	12.0	0.113	
CMHO	aerobic	EX_glc(e)	0	nothko		90.0897		0.1	14.0	0.113	
CMHO	aerobic	EX_glc(e)	1	nothko	96.4558	96.4358	'GAPD';	15.7	14.0	0.113	
CMHO	aerobic	EX_glc(e)	2	nothko	102.0744	102.0542	'GAPD';'PDH';	16.5	14.0	0.113	
CMHO	aerobic	EX_glc(e)	0	nothko		98.9507		0.1	16.0	0.113	
CMHO	aerobic	EX_glc(e)	1	nothko	107.5526	107.5326	'GAPD';	15.7	16.0	0.113	
CMHO	aerobic	EX_glc(e)	2	nothko	114.0744	114.0542	'GAPD';'PDH';	16.3	16.0	0.113	
CMHO	aerobic	EX_glc(e)	0	nothko		106.9507		0.1	18.0	0.113	
CMHO	aerobic	EX_glc(e)	1	nothko	118.5455	118.5255	'GAPD';	15.8	18.0	0.113	
CMHO	aerobic	EX_glc(e)	2	nothko	126.0744	126.0542	'GAPD';'PDH';	16.3	18.0	0.113	
CMHO	aerobic	EX_glc(e)	0	nothko		114.9507		0.1	20.0	0.113	
CMHO	aerobic	EX_glc(e)	1	nothko	129.3995	129.3793	'GAPD';	15.6	20.0	0.113	
CMHO	aerobic	EX_glc(e)	2	nothko	138.0744	138.0542	'GAPD';'PDH';	16.2	20.0	0.113	
CMHO	aerobic	EX_glc(e)	0	nothko		0.0000		0.1	2.0	0.226	
CMHO	aerobic	EX_glc(e)	1	nothko		0.0000		14.5	2.0	0.226	
CMHO	aerobic	EX_glc(e)	2	nothko		0.0000		14.6	2.0	0.226	
CMHO	aerobic	EX_glc(e)	0	nothko		15.2751		0.1	4.0	0.226	
CMHO	aerobic	EX_glc(e)	1	nothko	15.9456	15.9031	'GAPD';	15.8	4.0	0.226	
CMHO	aerobic	EX_glc(e)	2	nothko	16.5532	16.5106	'GAPD';'PDH';	16.2	4.0	0.226	
CMHO	aerobic	EX_glc(e)	0	nothko		34.3731		0.1	6.0	0.226	
CMHO	aerobic	EX_glc(e)	1	nothko	35.2365	35.1940	'GAPD';	15.8	6.0	0.226	
CMHO	aerobic	EX_glc(e)	2	nothko	36.0532	36.0106	'GAPD';'PDH';	16.6	6.0	0.226	
CMHO	aerobic	EX_glc(e)	0	nothko		47.8500		0.1	8.0	0.226	
CMHO	aerobic	EX_glc(e)	1	nothko	51.0019	50.9619	'GAPD';	15.6	8.0	0.226	
CMHO	aerobic	EX_glc(e)	2	nothko	53.9655	53.9251	'GAPD';'PDH';	16.3	8.0	0.226	
CMHO	aerobic	EX_glc(e)	0	nothko		58.2030		0.1	10.0	0.226	
CMHO	aerobic	EX_glc(e)	1	nothko	62.0987	62.0587	'GAPD';	15.6	10.0	0.226	
CMHO	aerobic	EX_glc(e)	2	nothko	65.9655	65.9251	'GAPD';'PDH';	16.3	10.0	0.226	
CMHO	aerobic	EX_glc(e)	0	nothko		68.3219		0.1	12.0	0.226	
CMHO	aerobic	EX_glc(e)	1	nothko	73.1181	73.0782	'GAPD';	15.5	12.0	0.226	
